,matchIndex,playerA,playerB,playerARacks,playerBRacks,playerARacks,date,competition
0,1,Chris Melling,Ralf Souquet,5,0,5,2021-03-22,2021 Predator CLP
1,2,Albin Ouschan,Chris Robinson,5,2,5,2021-03-22,2021 Predator CLP
2,3,Kelly Fisher,Niels Feijen,5,4,5,2021-03-22,2021 Predator CLP
3,4,Eklent Kaci,Albin Ouschan,5,4,5,2021-03-22,2021 Predator CLP
4,5,Niels Feijen,Chris Robinson,5,3,5,2021-03-22,2021 Predator CLP
5,6,Ralf Souquet,Eklent Kaci,5,3,5,2021-03-22,2021 Predator CLP
6,7,Chris Melling,Chris Robinson,5,4,5,2021-03-22,2021 Predator CLP
7,8,Kelly Fisher,Ralf Souquet,5,4,5,2021-03-22,2021 Predator CLP
8,9,Albin Ouschan,Chris Melling,5,2,5,2021-03-22,2021 Predator CLP
9,10,Eklent Kaci,Kelly Fisher,5,4,5,2021-03-22,2021 Predator CLP
10,11,Ralf Souquet,Albin Ouschan,5,3,5,2021-03-22,2021 Predator CLP
11,12,Eklent Kaci,Chris Robinson,5,1,5,2021-03-22,2021 Predator CLP
12,13,Niels Feijen,Chris Melling,5,3,5,2021-03-22,2021 Predator CLP
13,14,Ralf Souquet,Chris Robinson,5,2,5,2021-03-22,2021 Predator CLP
14,15,Albin Ouschan,Kelly Fisher,5,2,5,2021-03-22,2021 Predator CLP
15,16,Eklent Kaci,Chris Melling,5,3,5,2021-03-22,2021 Predator CLP
16,17,Albin Ouschan,Niels Feijen,5,4,5,2021-03-22,2021 Predator CLP
17,18,Chris Melling,Kelly Fisher,5,3,5,2021-03-22,2021 Predator CLP
18,19,Niels Feijen,Ralf Souquet,5,3,5,2021-03-22,2021 Predator CLP
19,20,Chris Robinson,Kelly Fisher,5,3,5,2021-03-22,2021 Predator CLP
20,21,Eklent Kaci,Niels Feijen,5,3,5,2021-03-22,2021 Predator CLP
21,22,Chris Melling,Eklent Kaci,5,1,5,2021-03-22,2021 Predator CLP
22,23,Albin Ouschan,Niels Feijen,5,2,5,2021-03-22,2021 Predator CLP
23,24,Chris Melling,Albin Ouschan,5,3,5,2021-03-22,2021 Predator CLP
24,25,Mieszko Fortunski,David Alcaide,5,1,5,2021-03-23,2021 Predator CLP
25,26,Kelly Fisher,Ralf Souquet,5,3,5,2021-03-23,2021 Predator CLP
26,27,Niels Feijen,Albin Ouschan,5,2,5,2021-03-23,2021 Predator CLP
27,28,Eklent Kaci,Kelly Fisher,5,1,5,2021-03-23,2021 Predator CLP
28,29,Niels Feijen,Ralf Souquet,5,4,5,2021-03-23,2021 Predator CLP
29,30,Eklent Kaci,David Alcaide,5,1,5,2021-03-23,2021 Predator CLP
30,31,Mieszko Fortunski,Ralf Souquet,5,4,5,2021-03-23,2021 Predator CLP
31,32,David Alcaide,Albin Ouschan,5,2,5,2021-03-23,2021 Predator CLP
32,33,Mieszko Fortunski,Kelly Fisher,5,1,5,2021-03-23,2021 Predator CLP
33,34,Albin Ouschan,Eklent Kaci,5,4,5,2021-03-23,2021 Predator CLP
34,35,David Alcaide,Kelly Fisher,5,3,5,2021-03-23,2021 Predator CLP
35,36,Eklent Kaci,Ralf Souquet,5,1,5,2021-03-23,2021 Predator CLP
36,37,Mieszko Fortunski,Niels Feijen,5,0,5,2021-03-23,2021 Predator CLP
37,38,David Alcaide,Ralf Souquet,5,2,5,2021-03-23,2021 Predator CLP
38,39,Kelly Fisher,Albin Ouschan,5,2,5,2021-03-23,2021 Predator CLP
39,40,Eklent Kaci,Mieszko Fortunski,5,2,5,2021-03-23,2021 Predator CLP
40,41,Kelly Fisher,Niels Feijen,5,3,5,2021-03-23,2021 Predator CLP
41,42,Albin Ouschan,Mieszko Fortunski,5,2,5,2021-03-23,2021 Predator CLP
42,43,Niels Feijen,David Alcaide,5,2,5,2021-03-23,2021 Predator CLP
43,44,Albin Ouschan,Ralf Souquet,5,1,5,2021-03-23,2021 Predator CLP
44,45,Niels Feijen,Eklent Kaci,5,3,5,2021-03-23,2021 Predator CLP
45,46,Kelly Fisher,Mieszko Fortunski,5,4,5,2021-03-23,2021 Predator CLP
46,47,Eklent Kaci,Niels Feijen,5,2,5,2021-03-23,2021 Predator CLP
47,48,Eklent Kaci,Kelly Fisher,5,3,5,2021-03-23,2021 Predator CLP
48,49,Darren Appleton,Billy Thorpe,5,0,5,2021-03-24,2021 Predator CLP
49,50,David Alcaide,Albin Ouschan,5,4,5,2021-03-24,2021 Predator CLP
50,51,Kelly Fisher,Mieszko Fortunski,5,3,5,2021-03-24,2021 Predator CLP
51,52,Niels Feijen,Albin Ouschan,5,3,5,2021-03-24,2021 Predator CLP
52,53,David Alcaide,Mieszko Fortunski,5,2,5,2021-03-24,2021 Predator CLP
53,54,Niels Feijen,Darren Appleton,5,2,5,2021-03-24,2021 Predator CLP
54,55,David Alcaide,Billy Thorpe,5,4,5,2021-03-24,2021 Predator CLP
55,56,Kelly Fisher,Darren Appleton,5,3,5,2021-03-24,2021 Predator CLP
56,57,Billy Thorpe,Albin Ouschan,5,4,5,2021-03-24,2021 Predator CLP
57,58,Niels Feijen,Kelly Fisher,5,0,5,2021-03-24,2021 Predator CLP
58,59,Albin Ouschan,Darren Appleton,5,2,5,2021-03-24,2021 Predator CLP
59,60,David Alcaide,Niels Feijen,5,1,5,2021-03-24,2021 Predator CLP
60,61,Mieszko Fortunski,Billy Thorpe,5,3,5,2021-03-24,2021 Predator CLP
61,62,David Alcaide,Darren Appleton,5,4,5,2021-03-24,2021 Predator CLP
62,63,Albin Ouschan,Kelly Fisher,5,2,5,2021-03-24,2021 Predator CLP
63,64,Billy Thorpe,Niels Feijen,5,4,5,2021-03-24,2021 Predator CLP
64,65,Albin Ouschan,Mieszko Fortunski,5,1,5,2021-03-24,2021 Predator CLP
65,66,Billy Thorpe,Kelly Fisher,5,3,5,2021-03-24,2021 Predator CLP
66,67,Mieszko Fortunski,Darren Appleton,5,2,5,2021-03-24,2021 Predator CLP
67,68,David Alcaide,Kelly Fisher,5,0,5,2021-03-24,2021 Predator CLP
68,69,Niels Feijen,Mieszko Fortunski,5,4,5,2021-03-24,2021 Predator CLP
69,70,David Alcaide,Billy Thorpe,5,4,5,2021-03-24,2021 Predator CLP
70,71,Niels Feijen,Albin Ouschan,5,2,5,2021-03-24,2021 Predator CLP
71,72,David Alcaide,Niels Feijen,5,2,5,2021-03-24,2021 Predator CLP
72,73,Mieszko Fortunski,Kelly Fisher,5,0,5,2021-03-25,2021 Predator CLP
73,74,Naoyuki Oi,Kristina Tkach,5,0,5,2021-03-25,2021 Predator CLP
74,75,Billy Thorpe,Kelly Fisher,5,3,5,2021-03-25,2021 Predator CLP
75,76,Niels Feijen,Albin Ouschan,5,2,5,2021-03-25,2021 Predator CLP
76,77,Albin Ouschan,Mieszko Fortunski,5,2,5,2021-03-25,2021 Predator CLP
77,78,Naoyuki Oi,Billy Thorpe,5,0,5,2021-03-25,2021 Predator CLP
78,79,Naoyuki Oi,Niels Feijen,5,1,5,2021-03-25,2021 Predator CLP
79,80,Mieszko Fortunski,Kristina Tkach,5,3,5,2021-03-25,2021 Predator CLP
80,81,Niels Feijen,Billy Thorpe,5,2,5,2021-03-25,2021 Predator CLP
81,82,Kristina Tkach,Kelly Fisher,5,3,5,2021-03-25,2021 Predator CLP
82,83,Billy Thorpe,Mieszko Fortunski,5,1,5,2021-03-25,2021 Predator CLP
83,84,Naoyuki Oi,Kelly Fisher,5,3,5,2021-03-25,2021 Predator CLP
84,85,Albin Ouschan,Kristina Tkach,5,1,5,2021-03-25,2021 Predator CLP
85,86,Mieszko Fortunski,Naoyuki Oi,5,1,5,2021-03-25,2021 Predator CLP
86,87,Niels Feijen,Kelly Fisher,5,4,5,2021-03-25,2021 Predator CLP
87,88,Kristina Tkach,Billy Thorpe,5,2,5,2021-03-25,2021 Predator CLP
88,89,Albin Ouschan,Kelly Fisher,5,3,5,2021-03-25,2021 Predator CLP
89,90,Niels Feijen,Kristina Tkach,5,2,5,2021-03-25,2021 Predator CLP
90,91,Albin Ouschan,Naoyuki Oi,5,2,5,2021-03-25,2021 Predator CLP
91,92,Niels Feijen,Mieszko Fortunski,5,1,5,2021-03-25,2021 Predator CLP
92,93,Albin Ouschan,Billy Thorpe,5,0,5,2021-03-25,2021 Predator CLP
93,94,Albin Ouschan,Mieszko Fortunski,5,1,5,2021-03-25,2021 Predator CLP
94,95,Niels Feijen,Naoyuki Oi,5,1,5,2021-03-25,2021 Predator CLP
95,96,Niels Feijen,Albin Ouschan,5,0,5,2021-03-25,2021 Predator CLP
96,97,Roberto Gomez,Marc Bijsterbosch,5,1,5,2021-03-26,2021 Predator CLP
97,98,Mieszko Fortunski,Kristina Tkach,5,1,5,2021-03-26,2021 Predator CLP
98,99,Naoyuki Oi,Billy Thorpe,5,4,5,2021-03-26,2021 Predator CLP
99,100,Albin Ouschan,Mieszko Fortunski,5,2,5,2021-03-26,2021 Predator CLP
100,101,Naoyuki Oi,Kristina Tkach,5,4,5,2021-03-26,2021 Predator CLP
101,102,Albin Ouschan,Marc Bijsterbosch,5,4,5,2021-03-26,2021 Predator CLP
102,103,Roberto Gomez,Kristina Tkach,5,4,5,2021-03-26,2021 Predator CLP
103,104,Marc Bijsterbosch,Billy Thorpe,5,1,5,2021-03-26,2021 Predator CLP
104,105,Roberto Gomez,Mieszko Fortunski,5,4,5,2021-03-26,2021 Predator CLP
105,106,Albin Ouschan,Billy Thorpe,5,0,5,2021-03-26,2021 Predator CLP
106,107,Marc Bijsterbosch,Mieszko Fortunski,5,4,5,2021-03-26,2021 Predator CLP
107,108,Albin Ouschan,Kristina Tkach,5,1,5,2021-03-26,2021 Predator CLP
108,109,Roberto Gomez,Naoyuki Oi,5,4,5,2021-03-26,2021 Predator CLP
109,110,Kristina Tkach,Marc Bijsterbosch,5,4,5,2021-03-26,2021 Predator CLP
110,111,Mieszko Fortunski,Billy Thorpe,5,4,5,2021-03-26,2021 Predator CLP
111,112,Roberto Gomez,Albin Ouschan,5,2,5,2021-03-26,2021 Predator CLP
112,113,Naoyuki Oi,Mieszko Fortunski,5,2,5,2021-03-26,2021 Predator CLP
113,114,Billy Thorpe,Roberto Gomez,5,2,5,2021-03-26,2021 Predator CLP
114,115,Marc Bijsterbosch,Naoyuki Oi,5,1,5,2021-03-26,2021 Predator CLP
115,116,Billy Thorpe,Kristina Tkach,5,1,5,2021-03-26,2021 Predator CLP
116,117,Albin Ouschan,Naoyuki Oi,5,3,5,2021-03-26,2021 Predator CLP
117,118,Naoyuki Oi,Albin Ouschan,5,4,5,2021-03-26,2021 Predator CLP
118,119,Roberto Gomez,Billy Thorpe,5,4,5,2021-03-26,2021 Predator CLP
119,120,Naoyuki Oi,Roberto Gomez,5,4,5,2021-03-26,2021 Predator CLP
120,121,Alex Kazakis,Casper Matikainen,5,0,5,2021-03-27,2021 Predator CLP
121,122,Billy Thorpe,Marc Bijsterbosch,5,4,5,2021-03-27,2021 Predator CLP
122,123,Mieszko Fortunski,Roberto Gomez,5,4,5,2021-03-27,2021 Predator CLP
123,124,Marc Bijsterbosch,Albin Ouschan,5,3,5,2021-03-27,2021 Predator CLP
124,125,Billy Thorpe,Mieszko Fortunski,5,3,5,2021-03-27,2021 Predator CLP
125,126,Albin Ouschan,Casper Matikainen,5,2,5,2021-03-27,2021 Predator CLP
126,127,Billy Thorpe,Alex Kazakis,5,4,5,2021-03-27,2021 Predator CLP
127,128,Casper Matikainen,Roberto Gomez,5,2,5,2021-03-27,2021 Predator CLP
128,129,Alex Kazakis,Marc Bijsterbosch,5,0,5,2021-03-27,2021 Predator CLP
129,130,Albin Ouschan,Roberto Gomez,5,0,5,2021-03-27,2021 Predator CLP
130,131,Marc Bijsterbosch,Casper Matikainen,5,4,5,2021-03-27,2021 Predator CLP
131,132,Albin Ouschan,Billy Thorpe,5,3,5,2021-03-27,2021 Predator CLP
132,133,Alex Kazakis,Mieszko Fortunski,5,3,5,2021-03-27,2021 Predator CLP
133,134,Casper Matikainen,Billy Thorpe,5,2,5,2021-03-27,2021 Predator CLP
134,135,Roberto Gomez,Marc Bijsterbosch,5,3,5,2021-03-27,2021 Predator CLP
135,136,Albin Ouschan,Alex Kazakis,5,1,5,2021-03-27,2021 Predator CLP
136,137,Marc Bijsterbosch,Mieszko Fortunski,5,4,5,2021-03-27,2021 Predator CLP
137,138,Alex Kazakis,Roberto Gomez,5,0,5,2021-03-27,2021 Predator CLP
138,139,Casper Matikainen,Mieszko Fortunski,5,1,5,2021-03-27,2021 Predator CLP
139,140,Billy Thorpe,Roberto Gomez,5,3,5,2021-03-27,2021 Predator CLP
140,141,Mieszko Fortunski,Albin Ouschan,5,2,5,2021-03-27,2021 Predator CLP
141,142,Alex Kazakis,Marc Bijsterbosch,5,1,5,2021-03-27,2021 Predator CLP
142,143,Albin Ouschan,Billy Thorpe,5,2,5,2021-03-27,2021 Predator CLP
143,144,Albin Ouschan,Alex Kazakis,5,0,5,2021-03-27,2021 Predator CLP
144,145,Denis Grabe,Jasmin Ouschan,5,2,5,2021-03-28,2021 Predator CLP
145,146,Mieszko Fortunski,Billy Thorpe,5,3,5,2021-03-28,2021 Predator CLP
146,147,Marc Bijsterbosch,Alex Kazakis,5,4,5,2021-03-28,2021 Predator CLP
147,148,Mieszko Fortunski,Casper Matikainen,5,4,5,2021-03-28,2021 Predator CLP
148,149,Marc Bijsterbosch,Billy Thorpe,5,4,5,2021-03-28,2021 Predator CLP
149,150,Jasmin Ouschan,Casper Matikainen,5,4,5,2021-03-28,2021 Predator CLP
150,151,Billy Thorpe,Denis Grabe,5,4,5,2021-03-28,2021 Predator CLP
151,152,Alex Kazakis,Jasmin Ouschan,5,0,5,2021-03-28,2021 Predator CLP
152,153,Denis Grabe,Mieszko Fortunski,5,2,5,2021-03-28,2021 Predator CLP
153,154,Alex Kazakis,Casper Matikainen,5,2,5,2021-03-28,2021 Predator CLP
154,155,Mieszko Fortunski,Jasmin Ouschan,5,2,5,2021-03-28,2021 Predator CLP
155,156,Billy Thorpe,Casper Matikainen,5,2,5,2021-03-28,2021 Predator CLP
156,157,Denis Grabe,Marc Bijsterbosch,5,4,5,2021-03-28,2021 Predator CLP
157,158,Jasmin Ouschan,Billy Thorpe,5,2,5,2021-03-28,2021 Predator CLP
158,159,Alex Kazakis,Mieszko Fortunski,5,3,5,2021-03-28,2021 Predator CLP
159,160,Denis Grabe,Casper Matikainen,5,4,5,2021-03-28,2021 Predator CLP
160,161,Mieszko Fortunski,Marc Bijsterbosch,5,3,5,2021-03-28,2021 Predator CLP
161,162,Denis Grabe,Alex Kazakis,5,1,5,2021-03-28,2021 Predator CLP
162,163,Marc Bijsterbosch,Jasmin Ouschan,5,3,5,2021-03-28,2021 Predator CLP
163,164,Alex Kazakis,Billy Thorpe,5,3,5,2021-03-28,2021 Predator CLP
164,165,Casper Matikainen,Marc Bijsterbosch,5,3,5,2021-03-28,2021 Predator CLP
165,166,Marc Bijsterbosch,Denis Grabe,5,3,5,2021-03-28,2021 Predator CLP
166,167,Mieszko Fortunski,Alex Kazakis,5,0,5,2021-03-28,2021 Predator CLP
167,168,Marc Bijsterbosch,Mieszko Fortunski,5,3,5,2021-03-28,2021 Predator CLP
168,169,Chris Melling,Eklent Kaci,5,3,5,2021-03-29,2021 Predator CLP
169,170,Niels Feijen,Marc Bijsterbosch,5,2,5,2021-03-29,2021 Predator CLP
170,171,Albin Ouschan,Naoyuki Oi,5,2,5,2021-03-29,2021 Predator CLP
171,172,David Alcaide,Marc Bijsterbosch,5,2,5,2021-03-29,2021 Predator CLP
172,173,Naoyuki Oi,Niels Feijen,5,4,5,2021-03-29,2021 Predator CLP
173,174,Chris Melling,David Alcaide,5,4,5,2021-03-29,2021 Predator CLP
174,175,Eklent Kaci,Niels Feijen,5,1,5,2021-03-29,2021 Predator CLP
175,176,Albin Ouschan,Chris Melling,5,0,5,2021-03-29,2021 Predator CLP
176,177,Eklent Kaci,Marc Bijsterbosch,5,1,5,2021-03-29,2021 Predator CLP
177,178,David Alcaide,Albin Ouschan,5,4,5,2021-03-29,2021 Predator CLP
178,179,Marc Bijsterbosch,Chris Melling,5,2,5,2021-03-29,2021 Predator CLP
179,180,David Alcaide,Niels Feijen,5,4,5,2021-03-29,2021 Predator CLP
180,181,Eklent Kaci,Naoyuki Oi,5,3,5,2021-03-29,2021 Predator CLP
181,182,Chris Melling,Niels Feijen,5,3,5,2021-03-29,2021 Predator CLP
182,183,Marc Bijsterbosch,Albin Ouschan,5,2,5,2021-03-29,2021 Predator CLP
183,184,Eklent Kaci,David Alcaide,5,2,5,2021-03-29,2021 Predator CLP
184,185,Naoyuki Oi,Marc Bijsterbosch,5,2,5,2021-03-29,2021 Predator CLP
185,186,Eklent Kaci,Albin Ouschan,5,3,5,2021-03-29,2021 Predator CLP
186,187,Chris Melling,Naoyuki Oi,5,4,5,2021-03-29,2021 Predator CLP
187,188,Albin Ouschan,Niels Feijen,5,4,5,2021-03-29,2021 Predator CLP
188,189,Naoyuki Oi,David Alcaide,5,4,5,2021-03-29,2021 Predator CLP
189,190,Albin Ouschan,Eklent Kaci,5,2,5,2021-03-29,2021 Predator CLP
190,191,David Alcaide,Chris Melling,5,2,5,2021-03-29,2021 Predator CLP
191,192,Albin Ouschan,David Alcaide,5,1,5,2021-03-29,2021 Predator CLP
